name,occupation,gender,orientation,wikidata_url
Nalini Venkatasubramanian,computer scientist,female,,http://www.wikidata.org/entity/Q16372
Dorothea Wagner,computer scientist,female,,http://www.wikidata.org/entity/Q16477
Wang Xiaoyun,computer scientist,female,,http://www.wikidata.org/entity/Q16478
Tandy Warnow,computer scientist,female,,http://www.wikidata.org/entity/Q16479
Elaine Weyuker,computer scientist,female,,http://www.wikidata.org/entity/Q16480
Sue Whitesides,computer scientist,female,,http://www.wikidata.org/entity/Q16481
Telle Whitney,computer scientist,female,,http://www.wikidata.org/entity/Q16482
Mary Allen Wilkes,computer scientist,female,,http://www.wikidata.org/entity/Q16484
Gail Williams,computer scientist,female,,http://www.wikidata.org/entity/Q16486
Myra Wilson,computer scientist,female,,http://www.wikidata.org/entity/Q16487
Sophie Wilson,computer scientist,trans woman,,http://www.wikidata.org/entity/Q16489
Jeannette Wing,computer scientist,female,,http://www.wikidata.org/entity/Q16490
Mary Lee Woods,computer scientist,female,,http://www.wikidata.org/entity/Q16492
Beatrice Helen Worsley,computer scientist,female,,http://www.wikidata.org/entity/Q16493
Margaret H. Wright,computer scientist,female,,http://www.wikidata.org/entity/Q16494
Irma Wyman,computer scientist,female,,http://www.wikidata.org/entity/Q16496
Frances Yao,computer scientist,female,,http://www.wikidata.org/entity/Q16497
Kateryna Yushchenko,computer scientist,female,,http://www.wikidata.org/entity/Q16498
Maria Zemankova,computer scientist,female,,http://www.wikidata.org/entity/Q16500
John von Neumann,computer scientist,male,,http://www.wikidata.org/entity/Q17455
Donald Knuth,computer scientist,male,,http://www.wikidata.org/entity/Q17457
Kathleen Antonelli,computer scientist,female,,http://www.wikidata.org/entity/Q17520
Tsutomu Yamaguchi,computer scientist,male,,http://www.wikidata.org/entity/Q17579
Gina Bianchini,computer scientist,female,,http://www.wikidata.org/entity/Q18263
Theo de Raadt,computer scientist,male,,http://www.wikidata.org/entity/Q18950
Steve Jobs,computer scientist,male,,http://www.wikidata.org/entity/Q19837
Felix von Leitner,computer scientist,male,,http://www.wikidata.org/entity/Q20906
Ahn Cheol-soo,computer scientist,male,,http://www.wikidata.org/entity/Q20995
Cynthia Breazeal,computer scientist,female,,http://www.wikidata.org/entity/Q21585
Sandy Carter,computer scientist,female,,http://www.wikidata.org/entity/Q21805
Michael S. Hart,computer scientist,male,,http://www.wikidata.org/entity/Q22677
Clive Sinclair,computer scientist,male,,http://www.wikidata.org/entity/Q23889
Christoph Zenger,computer scientist,male,,http://www.wikidata.org/entity/Q27376
John George Kemeny,computer scientist,male,,http://www.wikidata.org/entity/Q28900
Narendra Karmarkar,computer scientist,male,,http://www.wikidata.org/entity/Q29664
Guido van Rossum,computer scientist,male,,http://www.wikidata.org/entity/Q30942
Leonard Kleinrock,computer scientist,male,,http://www.wikidata.org/entity/Q32338
Linus Torvalds,computer scientist,male,,http://www.wikidata.org/entity/Q34253
Jeri Ellsworth,computer scientist,female,,http://www.wikidata.org/entity/Q34965
Mark Zuckerberg,computer scientist,male,,http://www.wikidata.org/entity/Q36215
Caterina Fake,computer scientist,female,,http://www.wikidata.org/entity/Q37195
Adele Goldstine,computer scientist,female,,http://www.wikidata.org/entity/Q40289
Wolfgang Pree,computer scientist,male,,http://www.wikidata.org/entity/Q90046
Gottfried Ungerboeck,computer scientist,male,,http://www.wikidata.org/entity/Q90302
Kurt Mehlhorn,computer scientist,male,,http://www.wikidata.org/entity/Q90313
Reinhard Wilhelm,computer scientist,male,,http://www.wikidata.org/entity/Q90599
Bernhard Korte,computer scientist,male,,http://www.wikidata.org/entity/Q90604
Michael Kohlhase,computer scientist,male,,http://www.wikidata.org/entity/Q91233
Bernhard Thalheim,computer scientist,male,,http://www.wikidata.org/entity/Q91452
Henning Kagermann,computer scientist,male,,http://www.wikidata.org/entity/Q91503
Tom Stonier,computer scientist,male,,http://www.wikidata.org/entity/Q91769
Edgar F. Codd,computer scientist,male,,http://www.wikidata.org/entity/Q92596
Larry Wall,computer scientist,male,,http://www.wikidata.org/entity/Q92597
Alexey Pajitnov,computer scientist,male,,http://www.wikidata.org/entity/Q92600
Nicholas Negroponte,computer scientist,male,,http://www.wikidata.org/entity/Q92601
Tony Hoare,computer scientist,male,,http://www.wikidata.org/entity/Q92602
Niklaus Wirth,computer scientist,male,,http://www.wikidata.org/entity/Q92604
John Carmack,computer scientist,male,,http://www.wikidata.org/entity/Q92605
Jim Gray,computer scientist,male,,http://www.wikidata.org/entity/Q92606
Brian Kernighan,computer scientist,male,,http://www.wikidata.org/entity/Q92608
Fred Brooks,computer scientist,male,,http://www.wikidata.org/entity/Q92609
Haskell Curry,computer scientist,male,,http://www.wikidata.org/entity/Q92611
Richard M. Karp,computer scientist,male,,http://www.wikidata.org/entity/Q92612
Leslie Lamport,computer scientist,male,,http://www.wikidata.org/entity/Q92613
Sid Meier,computer scientist,male,,http://www.wikidata.org/entity/Q92616
Paul Baran,computer scientist,male,,http://www.wikidata.org/entity/Q92617
Peter Naur,computer scientist,male,,http://www.wikidata.org/entity/Q92618
Richard Hamming,computer scientist,male,,http://www.wikidata.org/entity/Q92619
Bjarne Stroustrup,computer scientist,male,,http://www.wikidata.org/entity/Q92620
Andrew S. Tanenbaum,computer scientist,male,,http://www.wikidata.org/entity/Q92621
James Gosling,computer scientist,male,,http://www.wikidata.org/entity/Q92622
Jon Postel,computer scientist,male,,http://www.wikidata.org/entity/Q92623
Dan Bricklin,computer scientist,male,,http://www.wikidata.org/entity/Q92624
Fernando J. Corbató,computer scientist,male,,http://www.wikidata.org/entity/Q92625
Manuel Blum,computer scientist,male,,http://www.wikidata.org/entity/Q92626
Gary Kildall,computer scientist,male,,http://www.wikidata.org/entity/Q92627
Juris Hartmanis,computer scientist,male,,http://www.wikidata.org/entity/Q92628
Kenneth E. Iverson,computer scientist,male,,http://www.wikidata.org/entity/Q92629
John Cocke,computer scientist,male,,http://www.wikidata.org/entity/Q92632
Niklas Zennström,computer scientist,male,,http://www.wikidata.org/entity/Q92634
Jacques Vallée,computer scientist,male,,http://www.wikidata.org/entity/Q92635
John Ousterhout,computer scientist,male,,http://www.wikidata.org/entity/Q92636
Ray Ozzie,computer scientist,male,,http://www.wikidata.org/entity/Q92637
Robert Tarjan,computer scientist,male,,http://www.wikidata.org/entity/Q92638
Christos Papadimitriou,computer scientist,male,,http://www.wikidata.org/entity/Q92639
Robert W. Floyd,computer scientist,male,,http://www.wikidata.org/entity/Q92641
Ton Roosendaal,computer scientist,male,,http://www.wikidata.org/entity/Q92642
Robin Milner,computer scientist,male,,http://www.wikidata.org/entity/Q92643
Butler Lampson,computer scientist,male,,http://www.wikidata.org/entity/Q92644
John Henry Holland,computer scientist,male,,http://www.wikidata.org/entity/Q92646
Robert Tappan Morris,computer scientist,male,,http://www.wikidata.org/entity/Q92647
Brendan Eich,computer scientist,male,,http://www.wikidata.org/entity/Q92648
Amir Pnueli,computer scientist,male,,http://www.wikidata.org/entity/Q92649
Paul Graham,computer scientist,male,,http://www.wikidata.org/entity/Q92650
Håkon Wium Lie,computer scientist,male,,http://www.wikidata.org/entity/Q92651
Hans Reiser,computer scientist,male,,http://www.wikidata.org/entity/Q92652
Bruce Perens,computer scientist,male,,http://www.wikidata.org/entity/Q92653
Marcelo Tosatti,computer scientist,male,,http://www.wikidata.org/entity/Q92655
Walter Savitch,computer scientist,male,,http://www.wikidata.org/entity/Q92656
David D. Clark,computer scientist,male,,http://www.wikidata.org/entity/Q92657
Craig Reynolds,computer scientist,male,,http://www.wikidata.org/entity/Q92658
Jonathan Sachs,computer scientist,male,,http://www.wikidata.org/entity/Q92659
James Clark,computer scientist,male,,http://www.wikidata.org/entity/Q92660
Bob Wallace,computer scientist,male,,http://www.wikidata.org/entity/Q92661
Ryan C. Gordon,computer scientist,male,,http://www.wikidata.org/entity/Q92662
Shang-Hua Teng,computer scientist,male,,http://www.wikidata.org/entity/Q92663
Sanjeev Arora,computer scientist,male,,http://www.wikidata.org/entity/Q92664
John F. Sowa,computer scientist,male,,http://www.wikidata.org/entity/Q92665
Mark Jerrum,computer scientist,male,,http://www.wikidata.org/entity/Q92666
C. J. van Rijsbergen,computer scientist,male,,http://www.wikidata.org/entity/Q92667
Bob Scheifler,computer scientist,male,,http://www.wikidata.org/entity/Q92668
Jeffrey Shallit,computer scientist,male,,http://www.wikidata.org/entity/Q92669
Jack Dongarra,computer scientist,male,,http://www.wikidata.org/entity/Q92670
Julius Richard Büchi,computer scientist,male,,http://www.wikidata.org/entity/Q92672
Dan Kaminsky,computer scientist,male,,http://www.wikidata.org/entity/Q92673
Joe Ossanna,computer scientist,male,,http://www.wikidata.org/entity/Q92674
Takeo Kanade,computer scientist,male,,http://www.wikidata.org/entity/Q92675
